v,l,s
 14:16,139.9316656,120.4044544
 14:17,135.8845306,73.1903037
 14:18,255.225296,166.7699557
 14:19,101.1130689,59.0677236
 14:20,86.4524079,89.6872459
 14:21,60.0245696,43.0260499
 14:22,279.8148569,112.5317415
 14:23,89.8282516,170.7418296
 14:24,171.5547949,225.9450509
 14:25,348.056017,231.0744969
 14:26,169.4436776,93.5751961
 14:27,78.3912206,104.8616162
 14:28,74.8006075,84.2868386
 14:29,153.043403,108.1412139
 14:30,59.5622442,64.9268694
 14:31,205.3871303,125.8008643
 14:32,67.6404986,63.8032287
 14:33,34.483328,99.7046606
 14:34,35.2933212,189.4713149
 14:35,78.68953,64.158029
 14:36,27.5300387,41.1379955
 14:37,197.9006527,123.6777113
 14:38,236.4653905,137.9010011
 14:39,107.0591225,80.0465177
 14:40,65.993722,64.9261625
 14:41,54.4863868,65.9908096
 14:42,63.9825904,50.8053564
 14:43,119.2916775,43.9345055
 14:44,89.778675,143.9322435
 14:45,2.4154,4.01
