v,l,s
 14:16,71548,15328
 14:17,6000,2037
 14:18,139567,45713
 14:19,43574,23490
 14:20,13750,41009
 14:21,15890,0
 14:22,160274,11601
 14:23,2198,17005
 14:24,73146,222824
 14:25,280258,56161
 14:26,14235,15427
 14:27,10925,43574
 14:28,3000,5064
 14:29,1195,19050
 14:30,0,91250
 14:31,9221,136814
 14:32,40785,130154
 14:33,10340,162634
 14:34,6802,14201
 14:35,50835,9478
 14:36,23004,15556
 14:37,34181,75200
 14:38,106704,18174
 14:39,6489,15359
 14:40,8000,20
 14:41,75,0
 14:42,55570,0
 14:43,15455,0
 14:44,0,14302
