v,l,s
 14:16,120.1890711,135.3970706
 14:17,171.6397842,14.0833741
 14:18,407.1997695,172.6538728
 14:19,92.5926124,32.5911501
 14:20,56.8093112,116.7442586
 14:21,44.3710405,44.8923535
 14:22,434.7572349,8.9194917
 14:23,40.5190864,128.8453815
 14:24,22.1902865,297.2800872
 14:25,504.1679032,216.2101704
 14:26,557.0359348,28.4363566
 14:27,28.6451359,117.6728609
 14:28,2.1275566,89.1973276
 14:29,25.2720009,71.2891646
 14:30,53.019359,1.4892973
 14:31,136.4750508,73.8254998
 14:32,33.119826,26.2715997
 14:33,3.686847,72.3012403
 14:34,6.2395959,120.5515464
 14:35,54.349711,68.5506324
 14:36,32.1919853,7.664289
 14:37,322.9133699,13.1066144
 14:38,121.2013084,65.2195618
 14:39,25.6034439,48.9353724
 14:40,14.6429832,69.9100863
 14:41,9.8675941,62.0109185
 14:42,3.6389736,14.08198
 14:43,44.4217852,6.647828
 14:44,27.7658175,7.5668387
