v,l,s
 15:16,473248,533085
 15:17,676264,55482
 15:18,1606720,681168
 15:19,365366,128580
 15:20,224199,460696
 15:21,175047,177109
 15:22,1717260,35231
 15:23,160121,509047
 15:24,87496,1172571
 15:25,1991377,854096
 15:26,2201784,112357
 15:27,113207,464924
 15:28,8404,352269
 15:29,99693,281332
 15:30,209262,5879
 15:31,538946,291747
 15:32,130805,103746
 15:33,14560,285481
 15:34,24620,475640
 15:35,214307,270293
 15:36,126935,30216
 15:37,1275148,51763
 15:38,479235,257876
 15:39,101213,193448
 15:40,57898,276390
 15:41,39015,245145
 15:42,14385,55660
 15:43,175601,26276
 15:44,109771,29912
